Category	Tool	TP	FP	FN	TN	TPR	FPR
6	SEG strict	3585	828	5926	914344	0.376931973504363	0.000904747959946327
6	T-REKS	3420	29598	6091	885574	0.359583639995794	0.0323414614957625
6	Xstream	126	4080	9385	911092	0.0132478183156345	0.00445817835335871
7	AlcoR 2	1817	109514	9418	985108	0.161726746773476	0.100047322271981
7	AlcoR	2169	131012	9066	963610	0.19305740987984	0.119686978701323
7	Dotplot	9597	38063	1648	1057340	0.853445975989329	0.0347479420815901
7	fLPS 2.0	11066	980246	169	114376	0.98495772140632	0.895510961774932
7	fLPS 2.0 strict	10591	517789	644	576833	0.942679127725857	0.473029959200528
7	fLPS	11058	971764	177	122858	0.984245660881175	0.887762168127445
7	fLPS strict	10500	483281	735	611341	0.934579439252336	0.441504921333574
7	LCRFinder	5412	18342	5823	1076280	0.481708945260347	0.016756469356545
7	SEG	9319	84623	1916	1009999	0.829461504227859	0.0773079656721681
7	SEG intermediate	8665	12769	2570	1081853	0.771250556297285	0.0116652141104418
7	SEG strict	4875	1224	6360	1093398	0.433911882510013	0.00111819422595197
7	T-REKS	4659	56652	6576	1037970	0.414686248331108	0.0517548523599928
7	Xstream	0	9664	11235	1084958	0	0.00882861846372538
8	AlcoR 2	2006	106204	11552	1255057	0.147956925800266	0.0780188369460375
8	AlcoR	2735	133545	10823	1227716	0.201725918277032	0.0981038904368817
8	Dotplot	11539	49385	2019	1312410	0.851084230712494	0.0362646360134969
8	fLPS 2.0	13412	1271973	146	89288	0.989231450066381	0.934407876226528
8	fLPS 2.0 strict	12988	806933	570	554328	0.957958400944092	0.592783455927996
8	fLPS	13384	1255059	174	106202	0.987166248709249	0.921982632279923
8	fLPS strict	12889	727670	669	633591	0.950656439002803	0.534555827280735
8	LCRFinder	6650	25995	6908	1335266	0.490485322318926	0.0190962644195345
8	SEG	11380	110373	2178	1250888	0.839356837291636	0.0810814384603687
8	SEG intermediate	10556	17062	3002	1344199	0.778580911638885	0.0125339666676706
8	SEG strict	6075	1258	7483	1360003	0.448074937306387	0.000924143129054604
8	T-REKS	5767	73213	7791	1288048	0.425357722377932	0.0537832201172295
8	Xstream	32	18906	13526	1342355	0.00236023012243694	0.0138885930031052
9	AlcoR 2	2753	143771	12938	1678001	0.175450895417755	0.0789182180865663
9	AlcoR	3244	178469	12447	1643303	0.206742718755975	0.0979645092799758
9	Dotplot	13326	61773	2365	1760469	0.849276655407559	0.0338994491401252
9	fLPS 2.0	15592	1757457	99	64315	0.993690650691479	0.964696460369355
9	fLPS 2.0 strict	14832	1173219	859	648553	0.94525524185839	0.643998809949873
9	fLPS	15519	1741957	172	79815	0.989038302211459	0.9561882606605
9	fLPS strict	14692	1035063	999	786709	0.936332929704926	0.568162755822353
9	LCRFinder	7397	37046	8294	1784726	0.471416735708368	0.0203351462202734
9	SEG	13102	143076	2589	1678696	0.835000955962016	0.0785367213899434
9	SEG intermediate	12200	19588	3491	1802184	0.777515773373271	0.0107521687675516
9	SEG strict	6764	1209	8927	1820563	0.431075138614492	0.000663639577290682
9	T-REKS	5535	57275	10156	1764497	0.3527499840673	0.0314391702144945
9	Xstream	20	15713	15671	1806059	0.0012746160219234	0.00862511884033787
10	AlcoR 2	9489	244814	25637	3370843	0.270141775323122	0.0677094093825825
10	AlcoR	10928	307871	24198	3307786	0.311108580538632	0.0851493933191119
10	Dotplot	30486	122184	4959	3496617	0.860093101988997	0.0337636692374076
10	fLPS 2.0	35099	3593869	27	21788	0.999231338609577	0.993973985917359
10	fLPS 2.0 strict	34816	3257519	310	358138	0.991174628480328	0.900948015810128
10	fLPS	35073	3567089	53	48568	0.99849114615954	0.986567309896929
10	fLPS strict	34573	3050166	553	565491	0.984256675966521	0.843599379034018
10	LCRFinder	18265	90714	16861	3524943	0.519985196150999	0.0250892161507577
10	SEG	30636	310675	4490	3304982	0.872174457666686	0.0859249093594885
10	SEG intermediate	28426	45367	6700	3570290	0.80925809941354	0.0125473738244529
10	SEG strict	16261	2379	18865	3613278	0.462933439617377	0.000657971704727523
10	T-REKS	15405	113864	19721	3501793	0.438564026646928	0.0314919252572907
10	Xstream	2143	75955	32983	3539702	0.0610089392472812	0.0210072470922989
