x	y	piece_id	level_used	pt_idx	n_pts
0	8.463667220471333	1	0.6308373908051653	1	114
2	9.255684946023665	1	0.6308373908051653	2	114
3.9088183501360714	10	1	0.6308373908051653	3	114
4	10.043451833536693	1	0.6308373908051653	4	114
6	10.932131350546387	1	0.6308373908051653	5	114
8	11.863114830402065	1	0.6308373908051653	6	114
8.274675374465685	12	1	0.6308373908051653	7	114
10	12.89469783525224	1	0.6308373908051653	8	114
12	13.80781702092786	1	0.6308373908051653	9	114
12.353713444863342	14	1	0.6308373908051653	10	114
14	14.98011233691574	1	0.6308373908051653	11	114
15.94109620632789	16	1	0.6308373908051653	12	114
16	16.035048156978732	1	0.6308373908051653	13	114
18	17.179736955114205	1	0.6308373908051653	14	114
19.589777318899742	18	1	0.6308373908051653	15	114
20	18.231147523951233	1	0.6308373908051653	16	114
22	19.31242708994791	1	0.6308373908051653	17	114
23.274904391436042	20	1	0.6308373908051653	18	114
24	20.394219567079627	1	0.6308373908051653	19	114
26	21.36095464561385	1	0.6308373908051653	20	114
27.19497088015643	22	1	0.6308373908051653	21	114
28	22.494611966670824	1	0.6308373908051653	22	114
30	23.43736097207608	1	0.6308373908051653	23	114
31.57453500813744	24	1	0.6308373908051653	24	114
32	24.173061969767964	1	0.6308373908051653	25	114
34	24.762242010213463	1	0.6308373908051653	26	114
36	25.08224912046286	1	0.6308373908051653	27	114
38	25.264359641023425	1	0.6308373908051653	28	114
40	25.422433174519885	1	0.6308373908051653	29	114
42	25.5344620591697	1	0.6308373908051653	30	114
44	25.384513789675765	1	0.6308373908051653	31	114
46	24.560644396311158	1	0.6308373908051653	32	114
46.676601136636165	24	1	0.6308373908051653	33	114
48	23.429442042276456	1	0.6308373908051653	34	114
50	22.765666505706747	1	0.6308373908051653	35	114
52	22.29411784037132	1	0.6308373908051653	36	114
54	22.303206803047207	1	0.6308373908051653	37	114
56	22.66520824366888	1	0.6308373908051653	38	114
58	23.65098269012086	1	0.6308373908051653	39	114
58.22657914594151	24	1	0.6308373908051653	40	114
59.14009199719189	26	1	0.6308373908051653	41	114
60	26.79189783499994	1	0.6308373908051653	42	114
61.39953717480123	28	1	0.6308373908051653	43	114
60.028157159905454	30	1	0.6308373908051653	44	114
60	30.015714177713424	1	0.6308373908051653	45	114
59.797101665131294	30	1	0.6308373908051653	46	114
58	29.794626761503864	1	0.6308373908051653	47	114
56	28.96562994556097	1	0.6308373908051653	48	114
54	28.6110694598286	1	0.6308373908051653	49	114
52	29.640603991884344	1	0.6308373908051653	50	114
51.77315976828312	30	1	0.6308373908051653	51	114
52	30.077495685745202	1	0.6308373908051653	52	114
54	30.44912427961523	1	0.6308373908051653	53	114
56	30.60788603527576	1	0.6308373908051653	54	114
57.60707040200751	32	1	0.6308373908051653	55	114
58	32.25824282026618	1	0.6308373908051653	56	114
60	33.686213844409565	1	0.6308373908051653	57	114
60.63608111893861	34	1	0.6308373908051653	58	114
62	34.64528468061663	1	0.6308373908051653	59	114
63.41042904338107	36	1	0.6308373908051653	60	114
64	36.848101365544345	1	0.6308373908051653	61	114
64.85060601567524	38	1	0.6308373908051653	62	114
66	39.137872858488485	1	0.6308373908051653	63	114
66.79807121746447	40	1	0.6308373908051653	64	114
66.72158332586358	42	1	0.6308373908051653	65	114
66	42.51686506587902	1	0.6308373908051653	66	114
64	43.45512256666929	1	0.6308373908051653	67	114
63.200600131375694	44	1	0.6308373908051653	68	114
62	45.21391907300759	1	0.6308373908051653	69	114
61.01628000986301	46	1	0.6308373908051653	70	114
60	46.72116315246533	1	0.6308373908051653	71	114
58.14804312098438	48	1	0.6308373908051653	72	114
58	48.143179424426535	1	0.6308373908051653	73	114
56	49.95476772172368	1	0.6308373908051653	74	114
55.9453314616342	50	1	0.6308373908051653	75	114
54.644082705617045	52	1	0.6308373908051653	76	114
54.925388785249844	54	1	0.6308373908051653	77	114
55.78055685532294	56	1	0.6308373908051653	78	114
56	57.5540361984856	1	0.6308373908051653	79	114
56.04701064485553	58	1	0.6308373908051653	80	114
56	58.188302243085765	1	0.6308373908051653	81	114
55.48817684934248	60	1	0.6308373908051653	82	114
54.20424727575954	62	1	0.6308373908051653	83	114
54	62.20852241887927	1	0.6308373908051653	84	114
52	63.8081511387254	1	0.6308373908051653	85	114
51.70040678308088	64	1	0.6308373908051653	86	114
50	65.2266503831406	1	0.6308373908051653	87	114
49.04825755254619	66	1	0.6308373908051653	88	114
48	67.6054982461342	1	0.6308373908051653	89	114
47.774397100861854	68	1	0.6308373908051653	90	114
46.66739951537601	70	1	0.6308373908051653	91	114
46	70.89938291612924	1	0.6308373908051653	92	114
45.19222610075072	72	1	0.6308373908051653	93	114
44	73.30458263579087	1	0.6308373908051653	94	114
43.276638892492336	74	1	0.6308373908051653	95	114
42	75.02276979969332	1	0.6308373908051653	96	114
40.27489676775965	76	1	0.6308373908051653	97	114
