k_min	auc	p_thresh	tpr	fpr	J	boundary_file	surface_file	plot_file	gam_k	grid_step	train_pos	train_neg
12	0.9960829509894743	0.28583424872761326	0.9752066115702479	0.02118270079435128	0.9540239107758967	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_12.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_12.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_12.png	25	2	727	3399
11	0.9888461830987659	0.38555247016611915	0.9799599198396793	0.06707855251544571	0.9128813673242336	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_11.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_11.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_11.png	25	2	1498	3399
10	0.984837577766775	0.5995159044186391	0.9521951219512195	0.07325684024713151	0.8789382817040879	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_10.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_10.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_10.png	25	2	3075	3399
9	0.9796571908997778	0.6308373908051653	0.9748305905130688	0.1147396293027361	0.8600909612103327	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_9.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_9.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_9.png	25	2	6201	3399
8	0.9385975730170437	0.81347920022337	0.8881278538812786	0.10503089143865843	0.7830969624426202	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_8.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_8.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_8.png	25	2	13143	3399
7	0.9100277109167695	0.8745033731828604	0.859894519605595	0.147396293027361	0.712498226578234	boundary_outputs_gam_fast/LC_boundary_points_BAM_kmin_7.tsv	boundary_outputs_gam_fast/LC_posterior_surface_BAM_kmin_7.tsv	boundary_outputs_gam_fast/LC_boundary_BAM_kmin_7.png	25	2	26168	3399
